board,axis,slope,offset
board_1,x,0.05722694168934991,-0.10578463619500285
board_1,y,0.08899981213628787,-0.2805844185583479
board_2,x,0.06508158925908426,0.33608351305222356
board_2,y,0.0720113712711761,-0.712339994997504
